argument_id,attorney_name,firm,side,role,source
2013-0076,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0076,David M. Rothstein,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0489,Lisa L. Wolford,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2013-0489,Thomas A. Barnard,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Gordon J. MacDonald,Nixon Peabody LLP,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Brian J.S. Cullen,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Michael A. Delaney,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Thomas J. Collin,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Jason R.L. Major,"Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,"Charles G. Douglas, III","Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,William Guerry,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Shaun Gehan,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,"Francis C. Fredericks, Jr.",NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,Russell F. Hilliard,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0315,J. McNamara,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0607,Jason A. Casey,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0607,Richard E. Samdperil,"Samdperil & Welsh, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0650,Richard J. Lehmann,"Douglas, Leonard & Garvey, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0650,Danielle L. Pacik,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0734,John P. Fagan,"Bussiere & Bussiere, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0734,Brian J.S. Cullen,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0112,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0112,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0537,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0537,Sarah E. Newhall,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0562,Elizabeth C. Woodcock,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0562,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0591,Heather A. Cherniske,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0591,Charles J. Keefe,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0674,Kenneth A. Sansone,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0674,Andrew B. Eills,,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0775,John G. Cronin,"Cronin, Bisson & Zalinsky, P.C.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0775,Matthew R. Serge,"Upton & Hatfield, LLP",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0793,David W. Rayment,"Cleveland, Waters and Bass, P.A.",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0793,Mark B. Johnson,,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0801,"James W. Kennedy, III",,unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0801,John S. Krupski,"Milner & Krupski, PLLC",unknown,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0682,Sean R. Locke,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0682,David M. Rothstein,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0698,Nicholas P. Cort,NH Attorney General,state,oral_advocate,NH Supreme Court annual oral-argument archive PDF
2014-0698,Stephanie C. Hausman,NH Appellate Defender,defendant,oral_advocate,NH Supreme Court annual oral-argument archive PDF
